player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Saquon Barkley,45791,HB,NYG,18,82,0,21,0,-4.0,4,87.5,100.0,1,1,8.7,2,5,0,69.3,92.8,0,21,4.3,2,46,21,82.6,38,86.6,24,29.3,0,115,204,9.7,5.5,3.03,-0.8,1,87.5,0.0,0,1,0.0,0,1,0,48.1,55.5,1,9,0.0,0,29,7,96.6,28,42.2,8,9.8,0,29,48,6.9,4.1,1.04
Richie James,28991,WR,NYG,17,82,0,21,0,-2.0,1,100.0,,0,0,0.0,0,3,0,91.6,71.0,0,15,0.0,0,38,8,89.5,34,89.1,8,9.8,0,43,59,7.4,5.4,1.26,7.5,2,81.8,54.5,6,11,5.3,3,30,0,87.8,71.9,0,33,0.6,2,362,54,94.8,343,116.6,66,80.5,3,551,178,3.3,10.2,1.61
Hayden Hurst,47294,TE,CIN,16,82,0,7,0,-2.0,0,100.0,,0,0,0.0,0,4,0,90.9,75.9,0,8,3.1,1,32,5,93.8,30,85.8,5,6.1,0,23,33,6.6,4.6,0.77,7.9,0,76.2,25.0,1,4,5.9,1,10,0,90.2,65.5,0,23,1.3,2,149,16,91.9,137,114.8,21,25.6,1,168,50,3.1,10.5,1.23
Michael Gallup,26075,WR,DAL,16,80,0,9,0,-1.7,0,100.0,,0,0,0.0,0,0,0,88.7,44.2,0,7,0.0,0,36,3,97.2,35,84.7,3,3.8,0,13,18,6.0,4.3,0.37,9.5,0,83.3,100.0,1,1,0.0,0,2,0,47.1,60.3,0,12,0.0,0,41,5,92.7,38,127.8,6,7.5,2,31,4,0.8,6.2,0.82
Leonard Fournette,11759,HB,TB,17,80,0,30,0,-4.6,8,95.2,,0,0,4.8,1,8,0,89.2,96.1,0,44,8.3,5,60,20,91.7,55,114.1,21,26.3,1,159,253,12.7,8.0,2.89,-5.5,1,100.0,,0,0,0.0,0,1,0,90.4,84.2,0,11,0.0,0,6,2,100.0,6,91.7,2,2.5,0,12,23,11.5,6.0,2.0
Joe Mixon,11803,HB,CIN,17,79,0,7,0,-2.9,5,80.0,,0,0,0.0,0,1,0,91.4,86.5,0,35,5.4,2,37,8,89.2,33,98.3,10,12.7,0,76,99,12.4,9.5,2.3,-1.2,0,100.0,,0,0,0.0,0,0,0,59.2,77.8,0,14,0.0,0,19,6,100.0,19,96.5,6,7.6,0,43,50,8.3,7.2,2.26
David Njoku,11784,TE,CLV,14,79,0,8,0,-3.2,0,100.0,,0,0,0.0,0,5,1,91.8,88.2,0,13,23.3,10,43,10,69.8,30,92.9,10,12.7,0,63,95,9.5,6.3,2.1,9.9,3,77.4,85.7,6,7,4.0,1,17,0,74.2,84.4,1,22,2.9,5,172,24,91.3,157,101.0,31,39.2,1,276,110,4.6,11.5,1.76
Demarcus Robinson,10760,WR,BLT,18,78,0,3,0,-3.0,2,100.0,,0,0,0.0,0,1,0,84.5,63.8,0,15,0.0,0,30,2,93.3,28,116.7,2,2.6,0,24,30,15.0,12.0,0.86,14.5,0,16.7,100.0,1,1,50.0,1,1,0,48.4,70.1,2,6,0.0,0,31,1,96.8,30,39.6,6,7.7,1,6,0,0.0,6.0,0.2
Russell Gage,44771,WR,TB,14,78,0,30,0,-1.9,2,87.5,,0,0,0.0,0,2,0,91.1,55.2,0,10,0.0,0,54,7,98.1,53,84.9,8,10.3,0,35,50,7.1,5.0,0.66,4.8,0,73.3,100.0,1,1,4.3,1,10,1,66.6,66.7,0,21,0.0,0,144,22,96.5,139,97.8,30,38.5,1,169,84,3.8,7.7,1.22
Dawson Knox,35883,TE,BUF,17,77,0,4,0,-2.3,0,100.0,,0,0,0.0,0,0,0,88.7,37.7,0,6,2.9,1,35,3,94.3,33,83.3,3,3.9,0,12,19,6.3,4.0,0.36,9.2,0,73.5,50.0,3,6,7.4,2,18,0,73.1,61.8,0,24,3.8,11,291,25,89.3,260,137.5,34,44.2,5,282,84,3.4,11.3,1.08
Alec Pierce,78038,WR,IND,16,76,0,14,0,-1.5,1,100.0,100.0,1,1,0.0,0,0,0,88.7,43.0,0,5,0.0,0,43,2,95.3,41,79.2,2,2.6,0,3,6,3.0,1.5,0.07,6.0,0,0.0,0.0,0,1,,0,0,0,58.6,60.2,0,0,0.0,0,34,0,97.1,33,39.6,1,1.3,0,0,0,,,0.0
Chase Claypool,42312,WR,CHI,15,76,0,6,0,-2.3,0,66.7,100.0,1,1,20.0,1,0,0,28.1,45.4,0,8,0.0,0,37,4,94.6,35,70.1,6,7.9,0,4,13,3.3,1.0,0.11,10.7,2,62.2,50.0,6,12,6.7,2,17,0,77.6,60.8,3,26,0.0,0,275,28,93.1,256,60.0,45,59.2,1,286,93,3.3,10.2,1.12
Jerick McKinnon,8731,HB,KC,20,75,0,16,0,-4.4,2,95.5,,0,0,4.5,1,7,1,90.5,94.4,0,34,3.5,2,57,21,91.2,52,112.7,22,29.3,1,163,257,12.2,7.8,3.13,-2.0,0,0.0,,0,0,100.0,1,0,0,65.6,67.3,0,0,0.0,0,21,0,95.2,20,39.6,1,1.3,0,0,0,,,0.0
Noah Brown,11993,WR,DAL,18,74,0,9,0,-2.0,1,100.0,,0,0,0.0,0,2,0,88.7,57.7,0,15,0.0,0,42,3,97.6,41,106.9,3,4.1,0,29,35,11.7,9.7,0.71,10.4,4,67.7,33.3,3,9,4.5,1,15,0,69.9,59.1,2,45,3.5,8,228,21,91.7,209,89.0,31,41.9,2,267,90,4.3,12.7,1.28
Aaron Jones,11937,HB,GB,17,72,0,12,0,-3.4,6,93.9,,0,0,6.1,2,11,1,86.6,94.4,0,30,4.2,3,71,31,94.4,67,123.2,33,45.8,3,208,309,10.0,6.7,3.1,0.4,2,78.9,100.0,1,1,6.3,1,4,0,46.2,56.6,0,23,0.0,0,43,15,90.7,39,128.2,19,26.4,3,100,123,8.2,6.7,2.56
Chris Moore,10741,WR,HST,16,72,0,13,0,-3.3,2,100.0,,0,0,0.0,0,3,0,91.8,67.7,0,25,0.0,0,58,10,98.3,57,96.3,10,13.9,0,71,104,10.4,7.1,1.25,9.5,4,67.6,37.5,3,8,7.4,2,11,0,77.1,62.5,2,52,0.7,2,302,25,94.0,284,68.0,37,51.4,0,285,138,5.5,11.4,1.0
Alvin Kamara,11822,HB,NO,15,71,0,20,0,-4.2,3,90.9,,0,0,9.1,1,3,0,56.2,96.2,0,54,4.2,1,24,10,91.7,22,98.1,11,15.5,0,83,124,12.4,8.3,3.77,4.1,0,42.9,0.0,0,1,25.0,1,1,0,69.7,76.6,0,13,0.0,0,15,3,93.3,14,51.5,7,9.9,0,23,19,6.3,7.7,1.64
Cole Kmet,60995,TE,CHI,17,69,0,6,0,-1.7,2,84.6,,0,0,0.0,0,2,0,92.1,63.5,1,17,5.1,4,78,11,91.0,71,58.3,13,18.8,0,74,95,8.6,6.7,1.04,10.9,1,65.2,33.3,1,3,0.0,0,9,0,86.0,60.8,3,26,2.3,5,216,15,93.1,201,50.4,23,33.3,0,185,90,6.0,12.3,0.92
Cade Otton,61071,TE,TB,17,69,0,30,0,-2.5,0,25.0,,0,0,0.0,0,1,0,78.7,35.0,0,19,11.0,8,73,1,87.7,64,46.9,4,5.8,0,19,19,19.0,19.0,0.3,6.7,2,70.0,25.0,1,4,6.7,2,14,0,59.5,58.8,0,35,1.4,4,283,28,93.6,265,92.2,40,58.0,0,305,165,5.9,10.9,1.15
