player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,penalties,screen_avg_depth_of_target,screen_avoided_tackles,screen_caught_percent,screen_contested_catch_rate,screen_contested_receptions,screen_contested_targets,screen_drop_rate,screen_drops,screen_first_downs,screen_fumbles,screen_grades_hands_drop,screen_grades_pass_route,screen_interceptions,screen_longest,screen_pass_block_rate,screen_pass_blocks,screen_pass_plays,screen_receptions,screen_route_rate,screen_routes,screen_targeted_qb_rating,screen_targets,screen_targets_percent,screen_touchdowns,screen_yards,screen_yards_after_catch,screen_yards_after_catch_per_reception,screen_yards_per_reception,screen_yprr,slot_avg_depth_of_target,slot_avoided_tackles,slot_caught_percent,slot_contested_catch_rate,slot_contested_receptions,slot_contested_targets,slot_drop_rate,slot_drops,slot_first_downs,slot_fumbles,slot_grades_hands_drop,slot_grades_pass_route,slot_interceptions,slot_longest,slot_pass_block_rate,slot_pass_blocks,slot_pass_plays,slot_receptions,slot_route_rate,slot_routes,slot_targeted_qb_rating,slot_targets,slot_targets_percent,slot_touchdowns,slot_yards,slot_yards_after_catch,slot_yards_after_catch_per_reception,slot_yards_per_reception,slot_yprr
Corey Davis,11760,WR,NYJ,13,58,0,22,0,,0,,,0,0,,0,0,0,,40.3,0,0,0.0,0,40,0,87.5,35,0.0,0,0.0,0,0,0,,,0.0,16.3,0,50.0,50.0,1,2,14.3,1,6,0,53.9,66.1,1,22,0.0,0,76,6,96.1,73,41.0,12,20.7,0,92,16,2.7,15.3,1.26
Samaje Perine,11869,HB,CIN,19,57,0,7,0,-4.0,1,88.9,,0,0,0.0,0,3,0,91.4,92.5,0,29,10.3,3,29,8,86.2,25,134.7,9,15.8,1,67,101,12.6,8.4,2.68,1.5,1,50.0,,0,0,0.0,0,0,0,81.4,57.6,0,8,6.1,2,33,2,87.9,29,56.3,4,7.0,0,12,15,7.5,6.0,0.41
Antonio Gibson,78050,HB,WAS,15,57,0,32,0,-3.2,4,83.3,0.0,0,1,9.1,1,2,0,57.1,82.6,1,12,17.6,6,34,10,76.5,26,45.1,12,21.1,0,38,65,6.5,3.8,1.46,5.3,1,85.7,100.0,1,1,0.0,0,3,0,90.1,89.2,0,12,0.0,0,22,6,95.5,21,140.2,7,12.3,1,57,38,6.3,9.5,2.71
Hunter Henry,10669,TE,NE,17,57,0,19,0,,0,,,0,0,,0,0,0,,32.0,0,0,6.7,4,60,0,91.7,55,0.0,0,0.0,0,0,0,,,0.0,7.4,0,81.5,50.0,1,2,4.3,1,12,0,66.7,57.9,0,30,1.0,2,210,22,91.4,192,104.9,27,47.4,0,248,101,4.6,11.3,1.29
Logan Thomas,8755,TE,WAS,14,57,0,32,0,-3.0,0,100.0,,0,0,0.0,0,0,0,84.5,41.0,0,0,6.1,2,33,1,90.9,30,79.2,1,1.8,0,0,3,3.0,0.0,0.0,7.5,0,71.4,75.0,3,4,3.8,1,12,0,77.2,55.8,1,27,2.3,6,265,25,93.6,248,85.8,35,61.4,1,223,91,3.6,8.9,0.9
James Conner,11860,HB,ARZ,13,56,0,1,0,-4.1,3,88.9,,0,0,5.9,1,2,0,78.3,66.9,0,21,3.5,2,57,16,93.0,53,87.5,18,32.1,0,90,156,9.8,5.6,1.7,0.0,1,100.0,,0,0,0.0,0,0,0,57.7,49.4,0,7,0.0,0,46,3,100.0,46,87.5,3,5.4,0,15,15,5.0,5.0,0.33
Isaiah Likely,83955,TE,BLT,17,56,0,3,0,-2.8,0,83.3,,0,0,16.7,1,0,0,29.2,40.2,0,5,0.0,0,20,5,95.0,19,79.2,6,10.7,0,8,22,4.4,1.6,0.42,7.7,4,67.6,55.6,5,9,7.4,2,13,0,63.7,64.3,0,34,2.6,5,194,25,89.7,174,107.5,37,66.1,2,276,113,4.5,11.0,1.59
Tony Pollard,27126,HB,DAL,18,56,0,9,0,-3.9,0,87.5,,0,0,0.0,0,1,0,91.1,88.1,0,9,8.0,2,25,7,88.0,22,81.8,8,14.3,0,29,58,8.3,4.1,1.32,-1.2,1,55.6,0.0,0,1,16.7,1,1,0,81.4,78.3,0,5,0.0,0,27,5,96.3,26,60.9,9,16.1,0,13,28,5.6,2.6,0.5
Austin Hooper,10715,TE,TEN,17,56,0,31,0,,0,,,0,0,,0,0,0,78.7,41.4,0,0,8.3,2,24,0,83.3,20,0.0,0,0.0,0,0,0,,,0.0,8.6,2,67.7,63.6,7,11,4.5,1,13,0,83.5,67.9,0,19,0.5,1,186,21,94.1,175,87.2,31,55.4,0,213,48,2.3,10.1,1.22
Isaiah Hodgins,52130,WR,NYG,12,56,0,21,0,,0,,,0,0,,0,0,0,,41.4,0,0,0.0,0,23,0,95.7,22,0.0,0,0.0,0,0,0,,,0.0,6.4,1,92.9,100.0,1,1,0.0,0,7,0,91.2,79.4,0,19,0.0,0,63,13,90.5,57,128.0,14,25.0,1,126,41,3.2,9.7,2.21
Mike Gesicki,47153,TE,MIA,18,56,0,17,0,,0,,,0,0,,0,0,0,,43.3,0,0,0.0,0,21,0,90.5,19,0.0,0,0.0,0,0,0,,,0.0,12.5,1,57.1,0.0,0,4,5.9,1,13,0,67.6,60.2,1,30,3.3,7,213,16,92.0,196,100.3,28,50.0,5,174,29,1.8,10.9,0.89
Jahan Dotson,84375,WR,WAS,12,56,0,32,0,-1.8,0,75.0,100.0,1,1,25.0,1,0,0,27.0,36.5,0,3,0.0,0,41,3,95.1,39,77.1,4,7.1,0,5,10,3.3,1.7,0.13,8.6,2,75.0,100.0,3,3,0.0,0,8,0,43.5,67.3,1,28,0.0,0,106,9,96.2,102,105.2,12,21.4,3,103,55,6.1,11.4,1.01
Josh Reynolds,11872,WR,DET,14,56,0,11,0,-2.0,0,100.0,,0,0,0.0,0,1,0,84.5,41.0,0,7,0.0,0,41,2,97.6,40,89.6,2,3.6,0,11,15,7.5,5.5,0.28,12.6,0,50.0,0.0,0,2,11.1,1,7,0,60.4,61.2,0,28,1.4,2,148,8,95.3,141,93.2,16,28.6,1,110,47,5.9,13.8,0.78
Kyle Pitts,83964,TE,ATL,10,56,0,2,0,-2.3,1,75.0,,0,0,0.0,0,2,0,88.7,85.9,0,21,10.5,2,19,3,84.2,16,93.8,4,7.1,0,28,33,11.0,9.3,1.75,12.7,2,38.1,0.0,0,7,0.0,0,5,0,78.4,70.3,0,33,0.9,1,106,8,93.4,99,54.5,21,37.5,0,104,48,6.0,13.0,1.05
Rondale Moore,62890,WR,ARZ,8,55,0,1,0,-3.4,0,92.9,,0,0,0.0,0,1,0,92.5,65.3,0,17,0.0,0,48,13,91.7,44,81.8,14,25.5,0,51,96,7.4,3.9,1.16,2.8,2,78.8,0.0,0,3,13.3,4,9,0,71.1,66.9,0,27,0.0,0,171,26,95.9,164,94.7,33,60.0,0,222,176,6.8,8.5,1.35
Julio Jones,6158,WR,TB,11,53,0,30,0,0.0,0,100.0,,0,0,0.0,0,0,0,84.5,48.4,0,8,0.0,0,38,2,97.4,37,100.0,2,3.8,0,16,16,8.0,8.0,0.43,25.4,0,37.5,0.0,0,1,0.0,0,2,0,90.7,67.6,0,17,0.0,0,81,3,88.9,72,55.7,8,15.1,0,43,5,1.7,14.3,0.6
Najee Harris,57121,HB,PIT,17,53,0,25,0,-3.7,0,66.7,0.0,0,1,33.3,1,0,0,27.0,30.4,0,2,7.4,2,27,2,77.8,21,70.1,3,5.7,0,-4,4,2.0,-2.0,-0.19,5.3,0,100.0,,0,0,0.0,0,1,0,48.2,55.4,0,10,0.0,0,16,3,93.8,15,125.7,3,5.7,1,14,0,0.0,4.7,0.93
Treylon Burks,99218,WR,TEN,11,53,0,31,0,-1.1,2,100.0,,0,0,0.0,0,2,0,91.1,74.5,0,16,0.0,0,33,7,93.9,31,131.8,7,13.2,1,43,51,7.3,6.1,1.39,9.7,1,70.0,50.0,1,2,0.0,0,4,0,77.6,68.8,0,43,0.0,0,55,7,96.4,53,137.1,10,18.9,1,104,46,6.6,14.9,1.96
Devin Singletary,40485,HB,BUF,18,53,0,4,0,-4.2,2,83.3,,0,0,16.7,1,2,0,29.2,91.7,0,16,14.8,4,27,5,85.2,23,97.9,6,11.3,0,45,64,12.8,9.0,1.96,1.4,2,85.7,,0,0,0.0,0,3,0,49.8,57.3,0,22,4.7,3,64,6,85.9,55,96.4,7,13.2,0,50,51,8.5,8.3,0.91
Quez Watkins,61664,WR,PHI,20,53,0,24,0,-2.6,3,100.0,,0,0,0.0,0,2,0,92.3,63.5,0,11,0.0,0,60,13,95.0,57,82.7,13,24.5,0,50,84,6.5,3.8,0.88,7.9,2,65.6,0.0,0,3,4.5,1,8,0,77.9,55.2,2,22,0.3,1,360,21,94.4,340,60.9,32,60.4,1,152,116,5.5,7.2,0.45
Allen Robinson II,8696,WR,LA,10,51,0,26,0,-2.0,1,100.0,,0,0,0.0,0,0,0,78.7,38.3,0,5,0.0,0,56,1,100.0,56,87.5,1,2.0,0,5,7,7.0,5.0,0.09,6.6,1,82.4,75.0,3,4,0.0,0,8,0,76.6,66.6,0,23,1.6,2,126,14,96.0,121,111.8,17,33.3,1,104,28,2.0,7.4,0.86
DJ Chark Jr.,47702,WR,DET,11,51,0,11,0,-2.7,0,100.0,,0,0,0.0,0,1,0,88.7,52.8,0,9,0.0,0,33,3,93.9,31,81.9,3,5.9,0,11,19,6.3,3.7,0.35,31.4,0,40.0,50.0,1,2,0.0,0,2,0,49.7,63.1,1,39,0.0,0,89,2,96.6,86,30.8,5,9.8,0,42,3,1.5,21.0,0.49
Greg Dulcich,84068,TE,DEN,10,51,0,10,0,2.0,0,100.0,,0,0,0.0,0,1,0,84.5,51.6,0,11,6.3,2,32,2,93.8,30,100.0,2,3.9,0,16,12,6.0,8.0,0.53,11.0,2,66.7,25.0,1,4,11.1,2,10,0,57.5,62.6,1,23,0.0,0,201,16,94.5,190,72.4,24,47.1,0,185,53,3.3,11.6,0.97
Trent Sherfield,48021,WR,MIA,18,50,0,17,0,-3.0,0,100.0,,0,0,0.0,0,0,0,78.7,41.8,0,-3,0.0,0,36,1,91.7,33,79.2,1,2.0,0,-3,0,0.0,-3.0,-0.09,9.1,0,56.5,40.0,2,5,0.0,0,5,0,80.4,55.4,3,32,0.0,0,235,13,94.5,222,33.7,23,46.0,0,133,32,2.5,10.2,0.6
Nelson Agholor,9453,WR,NE,16,50,0,19,0,-2.6,1,100.0,,0,0,0.0,0,1,0,91.4,52.1,0,17,1.8,1,55,8,94.5,52,82.8,8,16.0,0,31,52,6.5,3.9,0.6,8.9,2,73.3,0.0,0,1,15.4,2,5,0,35.7,54.2,0,34,2.1,2,94,11,92.6,87,119.3,15,30.0,1,122,51,4.6,11.1,1.4
Jordan Akins,47050,TE,HST,15,49,0,13,0,-3.3,3,100.0,,0,0,0.0,0,4,0,90.2,90.7,0,46,3.1,1,32,4,96.9,31,118.8,4,8.2,0,83,96,24.0,20.8,2.68,9.4,2,76.2,50.0,1,2,0.0,0,12,0,88.2,70.9,2,30,2.3,3,131,16,93.9,123,105.9,21,42.9,3,203,102,6.4,12.7,1.65
Foster Moreau,47043,TE,LV,15,49,0,23,0,-6.5,0,100.0,100.0,1,1,0.0,0,0,0,88.7,42.9,0,-3,15.8,6,38,2,68.4,26,79.2,2,4.1,0,-9,4,2.0,-4.5,-0.35,9.2,3,57.9,25.0,1,4,0.0,0,8,1,70.3,67.6,0,30,11.8,22,186,11,84.9,158,82.1,19,38.8,0,145,75,6.8,13.2,0.92
Rex Burkhead,7971,HB,HST,16,49,0,13,0,-3.3,1,92.9,,0,0,7.1,1,2,0,69.2,65.5,0,13,0.0,0,21,13,100.0,21,87.2,14,28.6,0,69,115,8.8,5.3,3.29,2.7,0,77.8,,0,0,0.0,0,1,0,81.3,59.1,0,9,0.0,0,35,7,97.1,34,86.1,9,18.4,0,42,47,6.7,6.0,1.24
Hunter Renfrow,47509,WR,LV,10,49,0,23,0,-2.2,1,100.0,,0,0,0.0,0,0,1,91.1,36.6,0,8,0.0,0,23,6,91.3,21,84.7,6,12.2,0,26,39,6.5,4.3,1.24,6.7,7,72.7,66.7,2,3,0.0,0,14,2,90.9,65.0,2,27,0.0,0,265,24,94.7,251,88.7,33,67.3,2,246,105,4.4,10.3,0.98
Randall Cobb,6216,WR,GB,13,48,0,12,0,-0.8,2,83.3,,0,0,16.7,1,2,0,29.2,75.5,0,9,0.0,0,38,5,100.0,38,95.1,6,12.5,0,41,45,9.0,8.2,1.08,11.6,4,69.4,28.6,2,7,3.8,1,16,0,75.7,72.9,1,40,0.5,1,209,25,95.7,200,96.9,36,75.0,1,339,144,5.8,13.6,1.7
Kendrick Bourne,12270,WR,NE,16,47,0,19,0,-1.2,1,91.7,,0,0,8.3,1,3,1,64.7,56.1,0,16,0.0,0,52,11,98.1,51,89.9,12,25.5,0,67,85,7.7,6.1,1.31,8.5,0,90.9,100.0,2,2,9.1,1,5,1,61.6,66.4,0,32,0.0,0,84,10,96.4,81,133.7,11,23.4,1,97,17,1.7,9.7,1.2
Michael Carter,57337,HB,NYJ,16,47,0,22,0,-5.1,3,100.0,,0,0,0.0,0,3,0,91.6,96.4,0,11,11.1,3,27,9,77.8,21,83.8,9,19.1,0,37,83,9.2,4.1,1.76,0.5,1,100.0,100.0,2,2,0.0,0,1,0,82.8,59.4,0,8,0.0,0,16,4,93.8,15,86.5,4,8.5,0,19,17,4.3,4.8,1.27
Devin Duvernay,40006,WR,BLT,14,47,0,3,0,-0.1,2,100.0,,0,0,0.0,0,5,0,91.8,92.6,0,21,0.0,0,28,10,92.9,26,108.8,10,21.3,0,101,102,10.2,10.1,3.88,9.2,0,75.0,66.7,2,3,7.7,1,4,0,84.6,65.6,0,21,0.0,0,125,12,95.2,119,106.5,16,34.0,1,81,44,3.7,6.8,0.68
Terrace Marshall Jr.,84271,WR,CAR,14,47,0,5,0,-2.0,0,100.0,,0,0,0.0,0,1,0,78.7,44.8,0,8,0.0,0,58,1,98.3,57,100.0,1,2.1,0,8,10,10.0,8.0,0.14,3.0,0,100.0,,0,0,0.0,0,1,0,78.9,70.6,0,8,0.0,0,31,2,87.1,27,79.2,2,4.3,0,6,0,0.0,3.0,0.22
Travis Etienne Jr.,57185,HB,JAX,19,47,0,15,0,-4.3,2,87.0,,0,0,0.0,0,10,0,93.1,98.3,0,24,15.5,11,71,20,78.9,56,96.2,23,48.9,0,163,252,12.6,8.2,2.91,-5.0,1,100.0,,0,0,0.0,0,2,0,73.8,58.2,0,12,0.0,0,18,3,94.4,17,108.3,3,6.4,0,30,45,15.0,10.0,1.76
DeVante Parker,9447,WR,NE,13,47,0,19,0,-1.0,0,100.0,,0,0,0.0,0,0,0,78.7,41.3,0,-1,0.0,0,40,1,95.0,38,79.2,1,2.1,0,-1,0,0.0,-1.0,-0.03,26.0,0,50.0,,0,0,0.0,0,1,0,90.1,71.3,1,40,0.0,0,29,1,86.2,25,56.3,2,4.3,0,40,20,20.0,40.0,1.6
A.J. Green,6156,WR,ARZ,15,46,0,1,0,-5.0,0,100.0,,0,0,0.0,0,0,0,84.5,41.3,0,0,0.0,0,47,2,95.7,45,79.2,2,4.3,0,-4,6,3.0,-2.0,-0.09,5.0,0,100.0,,0,0,0.0,0,1,0,65.4,53.2,0,5,0.0,0,50,1,92.0,46,87.5,1,2.2,0,5,0,0.0,5.0,0.11
Nick Westbrook-Ikhine,47861,WR,TEN,17,45,0,31,0,0.0,0,100.0,,0,0,0.0,0,0,0,78.7,39.8,0,3,0.0,0,52,1,88.5,46,79.2,1,2.2,0,3,3,3.0,3.0,0.07,11.5,2,59.4,27.3,3,11,13.6,3,14,0,54.6,58.5,2,63,0.4,1,245,19,95.5,234,83.9,32,71.1,2,288,95,5.0,15.2,1.23
Chigoziem Okonkwo,84000,TE,TEN,17,45,0,31,0,-3.8,4,75.0,0.0,0,1,0.0,0,3,0,91.1,92.5,0,48,8.0,2,25,6,84.0,21,107.3,8,17.8,0,82,112,18.7,13.7,3.9,12.0,5,75.0,0.0,0,2,0.0,0,6,0,53.7,74.4,0,48,0.0,0,67,9,95.5,64,144.4,12,26.7,1,161,89,9.9,17.9,2.52
Van Jefferson,47447,WR,LA,11,44,0,26,0,,0,,,0,0,,0,0,0,,40.7,0,0,0.0,0,27,0,100.0,27,0.0,0,0.0,0,0,0,,,0.0,13.5,1,69.2,50.0,1,2,10.0,1,7,0,78.4,66.7,0,35,0.0,0,90,9,95.6,86,129.6,13,29.5,1,138,24,2.7,15.3,1.6
Tyquan Thornton,78092,WR,NE,13,43,0,19,0,-2.4,1,100.0,,0,0,0.0,0,2,0,90.6,55.2,0,12,0.0,0,56,5,96.4,54,86.7,5,11.6,0,24,36,7.2,4.8,0.44,11.3,0,66.7,100.0,1,1,0.0,0,3,0,41.3,50.2,2,29,0.0,0,84,4,92.9,78,87.5,6,14.0,2,43,9,2.3,10.8,0.55
Robbie Chosen,11254,WR,ARZ,16,43,0,1,0,-1.8,0,100.0,,0,0,0.0,0,0,1,90.6,32.0,0,12,0.0,0,53,5,98.1,52,85.0,5,11.6,0,22,31,6.2,4.4,0.42,15.7,0,33.3,0.0,0,1,33.3,1,1,0,64.1,46.3,0,19,0.0,0,49,2,98.0,48,46.5,6,14.0,0,24,1,0.5,12.0,0.5
Harrison Bryant,26394,TE,CLV,17,42,0,8,0,-2.0,1,100.0,,0,0,0.0,0,1,0,90.2,82.0,0,12,14.3,3,21,3,81.0,17,93.1,3,7.1,0,19,25,8.3,6.3,1.12,9.2,4,64.7,25.0,1,4,21.4,3,5,0,37.1,48.9,0,30,0.9,1,116,11,94.0,109,85.2,17,40.5,0,119,44,4.0,10.8,1.09
Darren Waller,9637,TE,LV,9,42,0,23,0,-5.0,0,100.0,,0,0,0.0,0,0,0,78.7,47.4,0,-1,0.0,0,11,1,100.0,11,79.2,1,2.4,0,-1,4,4.0,-1.0,-0.09,16.3,0,54.5,0.0,0,2,7.7,1,8,0,66.8,68.8,1,34,2.4,4,164,12,90.2,148,78.8,22,52.4,1,185,39,3.3,15.4,1.25
Skyy Moore,97116,WR,KC,18,41,0,16,0,-3.5,6,100.0,,0,0,0.0,0,3,0,92.0,90.5,0,18,0.0,0,34,11,97.1,33,90.9,11,26.8,0,64,102,9.3,5.8,1.94,7.8,2,71.4,0.0,0,1,6.3,1,8,0,66.8,67.3,1,30,0.0,0,109,15,91.7,100,88.8,21,51.2,1,157,103,6.9,10.5,1.57
Kareem Hunt,11841,HB,CLV,17,41,0,8,0,-3.6,4,81.8,,0,0,10.0,1,4,0,56.2,93.5,0,24,3.1,1,32,9,87.5,28,95.5,11,26.8,0,76,112,12.4,8.4,2.71,2.5,2,100.0,,0,0,0.0,0,1,0,77.0,66.4,0,11,0.0,0,16,4,93.8,15,95.8,4,9.8,0,28,18,4.5,7.0,1.87
Scott Miller,47481,WR,TB,15,40,0,30,0,-2.5,1,100.0,,0,0,0.0,0,0,0,84.5,46.9,0,4,0.0,0,19,2,100.0,19,79.2,2,5.0,0,4,9,4.5,2.0,0.21,13.3,0,71.4,66.7,2,3,0.0,0,2,0,75.8,56.8,0,12,0.0,0,49,5,100.0,49,81.8,7,17.5,0,34,10,2.0,6.8,0.69
Nyheim Hines,48103,HB,BUF,18,40,0,4,0,-4.7,3,100.0,,0,0,0.0,0,1,0,91.1,81.6,0,11,0.0,0,14,7,100.0,14,86.9,7,17.5,0,34,67,9.6,4.9,2.43,7.6,0,64.3,,0,0,0.0,0,5,0,78.3,86.0,0,21,0.0,0,42,9,100.0,42,83.3,14,35.0,0,93,58,6.4,10.3,2.21
Jeff Wilson Jr.,29413,HB,MIA,17,40,0,17,0,-4.7,2,66.7,0.0,0,1,0.0,0,1,0,90.2,54.7,0,12,3.2,1,31,4,93.5,29,74.3,6,15.0,0,24,41,10.3,6.0,0.83,4.8,1,50.0,0.0,0,1,0.0,0,1,0,72.7,48.6,0,13,2.2,1,46,3,93.5,43,63.9,6,15.0,0,29,24,8.0,9.7,0.67
Kylen Granson,40630,TE,IND,13,39,0,14,0,-3.7,0,100.0,,0,0,0.0,0,0,1,90.2,32.2,0,-2,0.0,0,23,3,95.7,22,79.2,3,7.7,0,-10,1,0.3,-3.3,-0.45,7.6,1,70.0,66.7,2,3,6.7,1,6,0,61.3,64.1,2,32,1.5,2,133,14,93.2,124,48.1,20,51.3,0,131,46,3.3,9.4,1.06
David Montgomery,45719,HB,CHI,16,39,0,6,0,-3.2,4,100.0,,0,0,0.0,0,4,0,92.1,94.1,0,30,2.0,1,51,12,94.1,48,102.8,12,30.8,0,104,142,11.8,8.7,2.17,1.5,3,83.3,0.0,0,1,0.0,0,1,0,90.0,68.2,0,9,3.1,1,32,5,96.9,31,92.4,6,15.4,0,37,28,5.6,7.4,1.19
Trey McBride,75916,TE,ARZ,15,39,0,1,0,-3.0,0,66.7,,0,0,0.0,0,0,0,90.2,48.3,0,7,6.3,3,48,2,87.5,42,70.1,3,7.7,0,9,19,9.5,4.5,0.21,7.2,0,60.0,0.0,0,3,14.3,1,2,1,61.9,42.6,0,14,1.7,2,121,6,91.7,111,71.3,10,25.6,0,46,5,0.8,7.7,0.41
J.D. McKissic,11047,HB,WAS,8,39,0,32,0,-3.7,0,100.0,,0,0,0.0,0,0,0,88.7,67.5,0,14,21.4,3,14,3,78.6,11,106.9,3,7.7,0,29,40,13.3,9.7,2.64,1.3,0,50.0,0.0,0,1,0.0,0,1,0,59.8,51.7,1,7,0.0,0,30,4,93.3,28,16.7,8,20.5,0,19,15,3.8,4.8,0.68
Marquise Goodwin,7859,WR,SEA,13,39,0,29,0,-3.7,0,66.7,,0,0,0.0,0,0,0,88.7,62.5,0,7,4.8,1,21,2,90.5,19,72.9,3,7.7,0,11,18,9.0,5.5,0.58,11.2,2,65.2,50.0,2,4,6.3,1,11,0,84.7,64.2,1,24,0.5,1,187,15,94.1,176,90.1,23,59.0,1,206,57,3.8,13.7,1.17
Raheem Mostert,9783,HB,MIA,16,39,0,17,0,-4.0,1,100.0,,0,0,0.0,0,0,0,88.7,49.0,0,2,0.0,0,24,3,91.7,22,79.2,3,7.7,0,-13,-1,-0.3,-4.3,-0.59,0.8,1,75.0,,0,0,0.0,0,2,0,70.9,62.0,1,6,0.0,0,55,6,100.0,55,77.1,8,20.5,1,3,13,2.2,0.5,0.05
Derrick Henry,10679,HB,TEN,16,39,0,31,0,-3.5,2,86.7,0.0,0,1,0.0,0,8,1,92.5,94.4,0,69,9.8,4,41,13,78.0,32,118.8,15,38.5,0,224,272,20.9,17.2,7.0,,0,,,0,0,,0,0,0,61.2,55.0,0,0,0.0,0,6,0,100.0,6,0.0,0,0.0,0,0,0,,,0.0
Phillip Dorsett,9462,WR,HST,15,39,0,13,0,-2.5,0,100.0,,0,0,0.0,0,0,0,84.5,50.9,0,9,0.0,0,38,2,94.7,36,100.0,2,5.1,0,16,21,10.5,8.0,0.44,10.6,0,71.4,100.0,1,1,16.7,1,3,0,47.5,54.8,0,27,0.0,0,58,5,87.9,51,148.8,7,17.9,1,80,17,3.4,16.0,1.57
AJ Dillon,57165,HB,GB,17,39,0,12,0,-4.6,0,77.8,,0,0,12.5,1,2,0,39.4,75.1,0,11,0.0,0,53,7,94.3,50,82.4,9,23.1,0,34,67,9.6,4.9,0.68,-3.3,0,66.7,,0,0,0.0,0,2,0,37.0,49.0,0,11,0.0,0,13,4,100.0,13,76.4,6,15.4,0,27,49,12.3,6.8,2.08
Equanimeous St. Brown,47967,WR,CHI,16,38,0,6,0,-1.5,0,100.0,,0,0,0.0,0,0,0,84.5,41.3,0,7,0.0,0,46,2,93.5,43,93.8,2,5.3,0,13,16,8.0,6.5,0.3,9.6,0,53.8,0.0,0,3,12.5,1,4,0,59.5,56.4,0,19,3.2,3,94,7,89.4,84,69.1,13,34.2,0,69,21,3.0,9.9,0.82
Cameron Brate,9207,TE,TB,12,38,0,30,0,-4.5,0,100.0,,0,0,0.0,0,0,0,84.5,49.9,0,8,3.2,1,31,2,96.8,30,91.7,2,5.3,0,12,21,10.5,6.0,0.4,7.5,2,58.3,25.0,1,4,12.5,2,7,0,52.5,52.5,1,21,1.3,2,153,14,93.5,143,68.2,24,63.2,1,121,40,2.9,8.6,0.85
Will Dissly,30762,TE,SEA,15,38,0,29,0,-3.0,0,100.0,,0,0,0.0,0,1,0,88.7,63.9,0,3,14.3,3,21,3,71.4,15,79.2,3,7.9,0,8,17,5.7,2.7,0.53,5.5,1,75.0,,0,0,25.0,2,5,0,52.2,72.9,0,18,4.6,3,65,6,92.3,60,135.9,8,21.1,1,61,32,5.3,10.2,1.02
Daniel Bellinger,84041,TE,NYG,14,38,0,21,0,-1.5,0,100.0,,0,0,0.0,0,1,0,84.5,51.0,0,10,5.9,2,34,2,85.3,29,95.8,2,5.3,0,14,17,8.5,7.0,0.48,6.2,0,60.0,50.0,1,2,25.0,1,2,0,74.3,55.7,0,10,2.0,2,99,3,96.0,95,72.1,5,13.2,0,24,17,5.7,8.0,0.25
Shi Smith,61643,WR,CAR,16,38,0,5,0,-1.3,2,71.4,0.0,0,1,16.7,1,2,0,29.2,51.9,0,12,0.0,0,42,5,97.6,41,80.1,7,18.4,0,31,40,8.0,6.2,0.76,9.8,4,53.6,14.3,1,7,6.3,1,12,0,57.8,53.4,3,38,0.0,0,266,15,94.7,252,67.3,28,73.7,2,244,73,4.9,16.3,0.97
Colby Parkinson,52266,TE,SEA,18,38,0,29,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,39.4,0,-4,7.7,1,13,1,92.3,12,79.2,1,2.6,0,-4,0,0.0,-4.0,-0.33,9.8,0,66.7,66.7,2,3,0.0,0,5,0,90.0,62.9,0,39,1.1,1,88,8,92.0,81,116.0,12,31.6,1,88,18,2.3,11.0,1.09
Jarvis Landry,8698,WR,NO,9,37,0,20,0,1.0,0,100.0,100.0,1,1,0.0,0,0,1,78.7,48.4,0,1,0.0,0,11,1,81.8,9,79.2,1,2.7,0,1,0,0.0,1.0,0.11,9.3,6,73.9,33.3,1,3,0.0,0,9,1,90.3,65.7,1,31,0.0,0,155,17,93.5,145,92.5,23,62.2,1,179,44,2.6,10.5,1.23
Noah Gray,60878,TE,KC,20,37,0,16,0,-2.5,2,100.0,,0,0,0.0,0,2,0,91.1,59.0,0,14,5.3,3,57,6,91.2,52,95.8,6,16.2,0,42,57,9.5,7.0,0.81,6.8,0,100.0,,0,0,0.0,0,3,0,78.4,53.3,0,25,2.5,2,79,6,97.5,77,114.6,6,16.2,0,69,28,4.7,11.5,0.9
Kenneth Gainwell,77737,HB,PHI,20,37,0,24,0,-3.1,0,62.5,,0,0,16.7,1,0,0,39.4,91.0,1,9,23.3,7,30,5,66.7,20,27.1,8,21.6,0,21,36,7.2,4.2,1.05,-4.0,0,100.0,,0,0,0.0,0,0,0,61.2,58.5,0,9,0.0,0,18,1,94.4,17,104.2,1,2.7,0,9,13,13.0,9.0,0.53
Jonnu Smith,11855,TE,NE,14,37,0,19,0,-2.9,6,83.3,0.0,0,1,0.0,0,1,0,91.8,91.2,0,24,12.2,5,41,10,85.4,35,87.2,12,32.4,0,59,88,8.8,5.9,1.69,4.3,1,75.0,50.0,1,2,0.0,0,1,0,90.0,67.6,0,11,0.0,0,58,6,94.8,55,84.9,8,21.6,0,39,34,5.7,6.5,0.71
Jelani Woods,60509,TE,IND,15,36,0,14,0,-4.0,0,100.0,,0,0,0.0,0,0,0,78.7,70.3,0,2,0.0,0,10,1,80.0,8,79.2,1,2.8,0,2,6,6.0,2.0,0.25,10.2,0,58.3,50.0,1,2,12.5,1,4,0,65.5,67.7,0,28,1.1,1,87,7,95.4,83,122.6,12,33.3,2,93,32,4.6,13.3,1.12
