player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Durham Smythe,47257,TE,MIA,17,20,0,17,,0,,,0,0,,0,0,0,,48.6,0,0,48.6,17,35,0,51.4,18,0.0,0,0.0,0,0,0,,,0.0,0,4.9,0,76.5,0.0,0,1,0.0,0,7,0,80.0,60.1,0,26,32.0,64,200,13,65.5,131,98.9,17,85.0,0,135,57,4.4,10.4,1.03
Isiah Pacheco,83747,HB,KC,20,20,0,16,-2.8,0,100.0,,0,0,0.0,0,1,0,72.1,57.1,0,17,16.0,8,50,4,82.0,41,84.4,4,20.0,0,17,28,7.0,4.3,0.41,0,-3.0,7,93.8,,0,0,0.0,0,9,0,81.1,81.2,0,32,10.3,15,146,15,89.0,130,113.0,16,80.0,0,178,230,15.3,11.9,1.37
Ashton Dulin,91479,WR,IND,12,20,0,14,11.0,0,83.3,100.0,3,3,0.0,0,5,0,73.4,77.2,1,18,3.2,1,31,5,93.5,29,66.7,6,30.0,0,57,8,1.6,11.4,1.97,0,15.8,0,62.5,33.3,1,3,0.0,0,4,0,73.4,59.0,1,23,0.0,0,79,5,91.1,72,92.2,8,40.0,1,73,12,2.4,14.6,1.01
John Bates,42275,TE,WAS,16,20,0,32,5.0,0,0.0,,0,0,100.0,1,0,0,28.8,35.9,0,0,35.8,19,53,0,54.7,29,39.6,2,10.0,0,0,0,,,0.0,0,6.4,0,77.8,0.0,0,1,0.0,0,4,1,80.6,57.5,0,20,33.9,43,127,14,63.0,80,110.2,18,90.0,1,108,53,3.8,7.7,1.35
Breshad Perriman,9459,WR,TB,11,19,0,30,18.6,0,50.0,0.0,0,3,0.0,0,3,0,72.1,71.7,0,28,0.0,0,34,4,100.0,34,118.8,8,42.1,1,68,11,2.8,17.0,2.0,0,15.6,3,33.3,0.0,0,4,25.0,1,2,1,36.2,48.2,0,14,0.0,0,87,3,95.4,83,45.6,9,47.4,0,34,32,10.7,11.3,0.41
Alexander Mattison,45817,HB,MIN,18,19,0,18,-6.0,0,0.0,0.0,0,1,,0,0,0,,47.6,0,0,32.3,20,62,0,59.7,37,39.6,1,5.3,0,0,0,,,0.0,0,-1.8,4,84.6,100.0,1,1,15.4,2,3,0,29.8,43.1,0,16,15.9,20,126,11,81.0,102,115.1,13,68.4,1,71,101,9.2,6.5,0.7
DeeJay Dallas,55632,HB,SEA,14,19,0,29,-0.8,0,100.0,,0,0,0.0,0,2,0,72.1,65.6,0,41,15.6,7,45,4,73.3,33,118.8,4,21.1,0,52,55,13.8,13.0,1.58,0,1.2,1,90.9,,0,0,0.0,0,3,0,78.0,62.9,0,10,20.5,18,88,10,78.4,69,88.3,11,57.9,0,57,62,6.2,5.7,0.83
KhaDarel Hodge,26104,WR,ATL,16,19,0,2,11.0,0,100.0,,0,0,0.0,0,1,0,68.3,73.5,0,18,0.0,0,11,1,90.9,10,118.8,1,5.3,0,18,7,7.0,18.0,1.8,0,11.4,2,70.6,50.0,2,4,7.7,1,6,0,61.8,76.7,0,39,0.0,0,63,12,95.2,60,125.6,17,89.5,1,184,54,4.5,15.3,3.07
Pharaoh Brown,12247,TE,CLV,16,19,0,8,2.8,0,66.7,100.0,1,1,0.0,0,1,0,72.1,63.2,0,11,23.1,9,39,4,74.4,29,71.5,6,31.6,0,20,25,6.3,5.0,0.69,0,9.0,2,58.3,66.7,2,3,22.2,2,5,0,35.3,58.7,1,30,18.9,18,95,7,75.8,72,48.3,12,63.2,0,93,55,7.9,13.3,1.29
Cam Sims,47908,WR,WAS,17,18,0,32,15.3,0,33.3,,0,0,0.0,0,1,0,64.7,54.1,0,12,0.0,0,42,1,97.6,41,46.5,3,16.7,0,12,15,15.0,12.0,0.29,0,16.3,0,40.0,0.0,0,3,0.0,0,2,0,72.1,51.6,1,21,0.0,0,113,4,95.6,108,13.8,10,55.6,0,43,1,0.3,10.8,0.4
Cedrick Wilson Jr.,48170,WR,MIA,16,18,0,17,10.3,0,75.0,50.0,1,2,25.0,1,3,0,36.8,69.2,0,21,0.0,0,35,3,94.3,33,113.5,4,22.2,0,47,21,7.0,15.7,1.42,0,9.7,0,75.0,0.0,0,1,0.0,0,6,0,77.3,63.1,0,20,0.0,0,96,9,96.9,93,96.2,12,66.7,0,91,38,4.2,10.1,0.98
Michael Bandy,91824,WR,LAC,10,18,0,27,7.0,0,100.0,,0,0,0.0,0,2,0,68.3,59.9,0,15,0.0,0,39,2,94.9,37,106.3,2,11.1,0,19,5,2.5,9.5,0.51,0,10.0,0,53.3,33.3,1,3,11.1,1,3,0,54.9,54.2,0,25,2.0,2,99,8,96.0,95,66.0,15,83.3,0,70,15,1.9,8.8,0.74
Justin Jackson,29539,HB,DET,12,17,0,11,9.3,0,33.3,,0,0,66.7,2,0,0,26.5,30.0,0,6,24.4,10,41,1,65.9,27,42.4,3,17.6,0,6,3,3.0,6.0,0.22,0,-0.8,4,75.0,,0,0,18.2,2,5,0,38.7,53.4,0,15,13.5,10,74,9,85.1,63,93.1,12,70.6,0,82,98,10.9,9.1,1.3
Travis Homer,45859,HB,SEA,10,17,0,29,,0,,,0,0,,0,0,0,,51.7,0,0,38.5,10,26,0,53.8,14,0.0,0,0.0,0,0,0,,,0.0,0,3.1,4,92.9,,0,0,0.0,0,6,0,80.6,69.9,0,27,20.7,18,87,13,75.9,66,130.1,14,82.4,1,133,96,7.4,10.2,2.02
Tyler Allgeier,83639,HB,ATL,16,17,0,2,-1.7,1,100.0,,0,0,0.0,0,2,0,70.5,60.7,0,20,24.5,13,53,3,71.7,38,100.0,3,17.6,0,24,29,9.7,8.0,0.63,0,-2.2,4,92.3,,0,0,0.0,0,6,0,80.6,62.7,0,26,22.3,39,175,12,73.1,128,130.1,13,76.5,1,118,142,11.8,9.8,0.92
Albert Okwuegbunam,41933,TE,DEN,7,17,0,10,8.5,0,0.0,0.0,0,2,,0,0,0,,47.7,0,0,0.0,0,26,0,92.3,24,39.6,2,11.8,0,0,0,,,0.0,0,5.1,4,66.7,0.0,0,1,20.0,2,3,0,35.3,55.8,0,25,3.4,3,87,8,89.7,78,113.2,12,70.6,1,80,45,5.6,10.0,1.03
Donald Parham Jr.,91014,TE,LAC,7,17,0,27,9.0,0,100.0,,0,0,0.0,0,2,0,70.5,71.9,0,12,36.8,7,19,3,63.2,12,134.0,3,17.6,1,20,1,0.3,6.7,1.67,0,12.4,0,77.8,,0,0,0.0,0,3,0,76.5,77.7,0,24,12.9,8,62,7,79.0,49,109.3,9,52.9,0,92,27,3.9,13.1,1.88
Kenny Golladay,11851,WR,NYG,14,17,0,21,6.0,0,0.0,0.0,0,2,100.0,1,0,0,27.9,45.6,0,0,0.0,0,55,0,89.1,49,39.6,3,17.6,0,0,0,,,0.0,0,11.8,0,46.2,20.0,1,5,14.3,1,4,0,52.1,62.4,0,25,0.0,0,99,6,93.9,93,92.1,13,76.5,1,81,11,1.8,13.5,0.87
Cam Akers,57206,HB,LA,15,17,0,26,2.5,0,50.0,,0,0,0.0,0,1,0,68.3,58.1,0,3,19.5,8,41,2,75.6,31,56.3,4,23.5,0,4,4,2.0,2.0,0.13,0,0.8,5,83.3,100.0,1,1,0.0,0,6,0,78.0,65.2,0,17,20.6,27,131,10,77.9,102,99.7,12,70.6,0,95,110,11.0,9.5,0.93
Tre' McKitty,60896,TE,LAC,18,17,0,27,,0,,,0,0,,0,0,0,,43.9,0,0,37.3,19,51,0,56.9,29,0.0,0,0.0,0,0,0,,,0.0,0,4.6,0,73.3,0.0,0,1,15.4,2,0,0,43.5,44.1,0,12,22.6,45,199,11,75.4,150,86.8,15,88.2,0,85,52,4.7,7.7,0.57
David Sills V,34579,WR,NYG,9,17,0,21,6.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,57.6,0,6,0.0,0,27,1,85.2,23,56.3,2,11.8,0,6,0,0.0,6.0,0.26,0,9.3,0,58.3,,0,0,12.5,1,5,0,54.5,60.1,1,24,0.0,0,103,7,92.2,95,47.2,12,70.6,0,90,39,5.6,12.9,0.95
DeSean Jackson,4363,WR,BLT,7,17,0,3,21.7,0,33.3,,0,0,0.0,0,1,0,64.7,61.1,0,12,0.0,0,14,1,92.9,13,46.5,3,17.6,0,12,0,0.0,12.0,0.92,0,18.1,0,61.5,25.0,1,4,0.0,0,4,0,77.3,80.5,0,62,0.0,0,56,8,91.1,51,98.6,13,76.5,0,141,23,2.9,17.6,2.76
Jamaal Williams,11889,HB,DET,17,16,0,11,-1.0,0,0.0,,0,0,,0,0,0,,49.9,0,0,42.9,24,56,0,53.6,30,39.6,1,6.3,0,0,0,,,0.0,0,0.2,2,84.6,,0,0,15.4,2,4,0,43.5,47.6,0,17,21.8,22,101,11,75.2,76,89.1,13,81.3,0,70,64,5.8,6.4,0.92
Chuba Hubbard,57373,HB,CAR,15,16,0,5,3.5,1,50.0,0.0,0,1,0.0,0,1,0,64.7,60.7,0,45,32.5,13,40,1,60.0,24,95.8,2,12.5,0,45,44,44.0,45.0,1.88,0,0.5,1,91.7,,0,0,8.3,1,4,0,60.2,59.4,0,19,27.6,29,105,11,67.6,71,98.6,12,75.0,0,92,83,7.5,8.4,1.3
Geoff Swaim,9679,TE,TEN,17,16,0,31,2.3,0,66.7,100.0,1,1,0.0,0,1,0,68.3,58.4,0,5,45.2,19,42,2,50.0,21,109.7,3,18.8,1,7,1,0.5,3.5,0.33,0,2.0,0,75.0,0.0,0,1,18.2,2,3,0,38.4,48.4,0,13,38.8,50,129,9,59.7,77,81.6,12,75.0,0,49,45,5.0,5.4,0.64
