player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
Shane Zylstra,143786,TE,DET,12,13,0,11,10.3,0,83.3,,0,0,16.7,1,4,0,46.3,62.6,0,7,4.8,2,42,5,92.9,39,118.8,6,46.2,4,16,0,0.0,3.2,0.41,0,5.3,0,85.7,100.0,1,1,0.0,0,2,0,74.6,54.3,0,14,1.2,1,82,6,93.9,77,92.9,7,53.8,0,44,12,2.0,7.3,0.57
James Robinson,22425,HB,NYJ,11,13,0,22,4.5,0,50.0,,0,0,0.0,0,0,0,64.7,50.4,0,-2,17.1,6,35,1,74.3,26,56.3,2,15.4,0,-2,4,4.0,-2.0,-0.08,0,-1.4,1,87.5,,0,0,0.0,0,2,0,75.6,55.0,0,10,15.0,12,80,7,78.8,63,87.0,8,61.5,0,39,48,6.9,5.6,0.62
Jalen Reagor,61697,WR,MIN,14,13,0,18,3.0,0,75.0,,0,0,0.0,0,2,0,70.5,75.3,0,25,0.0,0,10,3,90.0,9,133.3,4,30.8,1,28,19,6.3,9.3,3.11,0,14.3,0,50.0,,0,0,0.0,0,2,0,70.5,60.5,2,14,0.0,0,27,3,100.0,27,25.7,6,46.2,0,31,0,0.0,10.3,1.15
Jalen Nailor,84292,WR,MIN,6,12,0,18,,0,,,0,0,,0,0,0,,,0,0,,0,0,0,,0,0.0,0,0.0,0,0,0,,,,0,11.3,0,71.4,100.0,1,1,0.0,0,3,0,73.4,85.0,1,37,0.0,0,25,5,100.0,25,74.1,7,58.3,0,88,39,7.8,17.6,3.52
Eric Tomlinson,9786,TE,DEN,17,12,0,10,,0,,,0,0,,0,0,0,,45.4,0,0,51.7,15,29,0,41.4,12,0.0,0,0.0,0,0,0,,,0.0,0,4.6,0,85.7,100.0,1,1,0.0,0,3,0,74.6,54.6,0,18,33.0,36,109,6,64.2,70,139.6,7,58.3,1,56,41,6.8,9.3,0.8
Raheem Blackshear,57385,HB,CAR,10,12,0,5,,0,,,0,0,,0,0,0,,52.8,0,0,0.0,0,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,-1.6,4,88.9,,0,0,0.0,0,3,0,76.5,74.5,0,27,2.9,1,34,8,97.1,33,104.6,9,75.0,0,82,93,11.6,10.3,2.48
Jamison Crowder,9538,WR,BUF,4,12,0,4,6.0,0,0.0,0.0,0,1,,0,0,0,,44.9,0,0,0.0,0,28,0,92.9,26,39.6,1,8.3,0,0,0,,,0.0,0,12.9,0,50.0,0.0,0,2,0.0,0,3,0,72.1,65.3,1,16,0.0,0,37,4,97.3,36,26.0,8,66.7,0,42,17,4.3,10.5,1.17
Zack Moss,40341,HB,IND,11,12,0,14,5.0,0,100.0,,0,0,0.0,0,0,0,64.7,59.1,0,8,40.9,18,44,1,52.3,23,100.0,1,8.3,0,8,3,3.0,8.0,0.35,0,-0.6,5,88.9,,0,0,11.1,1,2,0,54.5,49.2,0,6,24.7,19,77,8,75.3,58,79.2,9,75.0,0,24,31,3.9,3.0,0.41
Brandon Johnson,40666,WR,DEN,7,12,0,10,17.8,0,20.0,0.0,0,1,0.0,0,1,0,64.7,56.8,1,1,0.0,0,33,1,81.8,27,39.6,5,41.7,1,1,0,0.0,1.0,0.04,0,17.0,0,60.0,50.0,1,2,0.0,0,0,0,70.5,49.4,0,11,0.0,0,86,3,97.7,84,70.4,5,41.7,0,22,6,2.0,7.3,0.26
Brian Robinson,57120,HB,WAS,12,12,0,32,-2.0,1,100.0,100.0,1,1,0.0,0,1,0,70.5,81.7,0,10,37.0,10,27,3,55.6,15,81.9,3,25.0,0,11,17,5.7,3.7,0.73,0,0.0,2,62.5,,0,0,16.7,1,2,0,45.8,55.7,1,18,20.9,14,67,5,77.6,52,76.6,8,66.7,1,43,45,9.0,8.6,0.83
Hassan Haskins,83701,HB,TEN,14,12,0,31,-1.0,0,100.0,,0,0,0.0,0,0,0,64.7,57.8,0,5,62.1,18,29,1,34.5,10,87.5,1,8.3,0,5,6,6.0,5.0,0.5,0,0.5,1,87.5,,0,0,12.5,1,2,0,52.1,54.2,0,10,20.3,14,69,7,78.3,54,89.1,8,66.7,0,43,34,4.9,6.1,0.8
Taysom Hill,12112,TE,NO,16,12,0,20,2.0,0,80.0,0.0,0,1,20.0,1,1,0,41.6,51.0,0,5,0.0,0,39,4,87.2,34,118.8,5,41.7,1,11,10,2.5,2.8,0.32,0,10.8,2,66.7,0.0,0,1,20.0,1,3,0,41.6,53.4,0,30,2.1,2,94,4,78.7,74,136.8,6,50.0,1,57,23,5.8,14.3,0.77
Velus Jones Jr.,40573,WR,CHI,11,12,0,6,8.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.9,0,8,0.0,0,16,1,81.3,13,100.0,1,8.3,0,8,0,0.0,8.0,0.62,0,24.6,0,62.5,50.0,1,2,16.7,1,3,0,45.8,64.8,0,44,0.0,0,47,5,100.0,47,101.0,8,66.7,0,90,28,5.6,18.0,1.91
C.J. Ham,11347,FB,MIN,18,12,0,18,17.0,0,0.0,0.0,0,1,,0,0,0,,51.8,0,0,41.7,5,12,0,50.0,6,39.6,2,16.7,0,0,0,,,0.0,0,2.8,2,100.0,,0,0,0.0,0,6,0,76.5,81.5,0,12,32.1,18,56,8,66.1,37,101.0,8,66.7,0,66,44,5.5,8.3,1.78
Jeff Smith,48055,WR,NYJ,11,12,0,22,8.7,0,83.3,,0,0,0.0,0,3,0,73.4,76.5,1,23,0.0,0,24,5,100.0,24,68.1,6,50.0,0,59,28,5.6,11.8,2.46,0,20.5,0,50.0,0.0,0,2,0.0,0,1,0,68.3,64.6,0,50,0.0,0,38,2,97.4,37,95.8,4,33.3,0,58,2,1.0,29.0,1.57
Dyami Brown,77986,WR,WAS,15,12,0,32,25.2,0,60.0,100.0,1,1,0.0,0,3,0,70.5,89.0,0,30,0.0,0,16,3,93.8,15,143.3,5,41.7,1,62,2,0.7,20.7,4.13,0,25.8,1,50.0,,0,0,0.0,0,2,0,68.3,63.9,0,75,0.0,0,53,2,98.1,52,135.4,4,33.3,1,81,29,14.5,40.5,1.56
D'Wayne Eskridge,29573,WR,SEA,9,12,0,29,6.7,0,0.0,0.0,0,1,,0,0,0,,49.9,0,0,0.0,0,27,0,92.6,25,39.6,3,25.0,0,0,0,,,0.0,0,3.0,1,100.0,,0,0,0.0,0,4,0,74.6,64.6,0,16,1.8,1,55,6,90.9,50,106.9,6,50.0,0,58,40,6.7,9.7,1.16
Teagan Quitoriano,84036,TE,HST,9,12,0,13,12.5,0,0.0,0.0,0,1,,0,0,0,,45.2,0,0,24.2,8,33,0,66.7,22,39.6,2,16.7,0,0,0,,,0.0,0,12.1,0,62.5,,0,0,0.0,0,3,0,73.4,58.7,1,52,22.0,26,118,5,76.3,90,66.7,8,66.7,0,103,53,10.6,20.6,1.14
Ko Kieft,41372,TE,TB,17,11,0,30,16.0,0,100.0,100.0,1,1,0.0,0,1,0,64.7,76.6,0,19,40.7,11,27,1,55.6,15,118.8,1,9.1,0,19,3,3.0,19.0,1.27,0,5.0,0,62.5,,0,0,16.7,1,3,0,45.8,58.7,0,18,20.0,12,60,5,75.0,45,83.3,8,72.7,0,56,25,5.0,11.2,1.24
Andrew Beck,47121,FB,DEN,11,11,0,10,-1.0,0,0.0,0.0,0,1,,0,0,0,,50.4,0,0,37.5,3,8,0,50.0,4,39.6,1,9.1,0,0,0,,,0.0,0,5.3,0,33.3,33.3,1,3,33.3,1,0,0,30.0,38.5,1,6,13.6,6,44,2,81.8,36,2.8,6,54.5,0,10,9,4.5,5.0,0.28
Khalil Herbert,41668,HB,CHI,13,11,0,6,-1.0,0,100.0,,0,0,0.0,0,1,0,64.7,62.2,0,25,33.3,16,48,1,62.5,30,158.3,1,9.1,1,25,26,26.0,25.0,0.83,0,-2.8,1,77.8,0.0,0,1,22.2,2,1,0,31.8,40.2,0,24,14.5,11,76,7,82.9,63,81.9,9,81.8,0,33,55,7.9,4.7,0.52
Kyren Williams,97118,HB,LA,8,11,0,26,,0,,,0,0,,0,0,0,,51.4,0,0,28.6,8,28,0,71.4,20,0.0,0,0.0,0,0,0,,,0.0,0,0.8,1,80.0,,0,0,0.0,0,5,0,76.5,67.0,1,15,11.3,6,53,8,86.8,46,56.3,10,90.9,0,70,81,10.1,8.8,1.52
Quintin Morris,61182,TE,BUF,16,11,0,4,9.2,0,80.0,100.0,1,1,0.0,0,3,1,72.1,42.3,0,14,6.9,4,58,4,82.8,48,126.3,5,45.5,1,24,10,2.5,6.0,0.5,0,6.8,0,100.0,,0,0,0.0,0,3,0,73.4,52.6,0,15,8.0,9,112,5,88.4,99,110.0,5,45.5,0,52,18,3.6,10.4,0.53
Parker Hesse,48369,TE,ATL,17,11,0,2,3.5,0,50.0,0.0,0,1,0.0,0,0,0,64.7,46.1,0,6,43.5,20,46,1,54.3,25,56.3,2,18.2,0,6,7,7.0,6.0,0.24,0,6.4,0,87.5,,0,0,0.0,0,5,0,75.6,59.3,0,22,44.4,80,180,7,51.7,93,107.3,8,72.7,0,78,30,4.3,11.1,0.84
Dan Arnold,51842,TE,JAX,18,11,0,15,4.0,0,100.0,,0,0,0.0,0,0,0,64.7,51.1,0,8,0.0,0,12,1,91.7,11,100.0,1,9.1,0,8,4,4.0,8.0,0.73,0,8.0,0,75.0,,0,0,14.3,1,4,0,52.1,66.6,0,26,8.0,4,50,6,84.0,42,116.7,8,72.7,0,102,64,10.7,17.0,2.43
Brycen Hopkins,47338,TE,LA,13,11,0,26,11.0,0,100.0,,0,0,0.0,0,1,0,64.7,59.9,0,16,14.3,3,21,1,81.0,17,118.8,1,9.1,0,16,5,5.0,16.0,0.94,0,10.6,0,66.7,100.0,1,1,0.0,0,4,0,74.6,70.5,0,22,5.2,3,58,6,91.4,53,100.7,9,81.8,0,93,26,4.3,15.5,1.75
James Mitchell,77885,TE,DET,13,11,0,11,,0,,,0,0,,0,0,0,,47.3,0,0,25.0,5,20,0,75.0,15,0.0,0,0.0,0,0,0,,,0.0,0,5.5,1,100.0,,0,0,0.0,0,6,0,78.0,82.7,0,22,11.5,7,61,10,85.2,52,145.0,10,90.9,1,108,59,5.9,10.8,2.08
Jonathan Williams,10790,HB,WAS,8,10,0,32,-2.0,0,100.0,,0,0,0.0,0,0,0,64.7,53.8,0,-1,0.0,0,12,1,100.0,12,79.2,1,10.0,0,-1,1,1.0,-1.0,-0.08,0,-0.8,0,66.7,,0,0,14.3,1,2,0,49.7,52.0,0,21,14.3,6,42,6,81.0,34,76.6,9,90.0,0,41,39,6.5,6.8,1.21
Michael Woods II,84117,WR,CLV,10,10,0,8,20.0,0,33.3,,0,0,0.0,0,0,0,68.3,52.9,1,5,0.0,0,30,2,96.7,29,2.8,6,60.0,0,9,0,0.0,4.5,0.31,0,14.3,0,75.0,,0,0,0.0,0,3,0,72.1,57.8,0,15,3.6,2,55,3,87.3,48,102.1,4,40.0,0,36,16,5.3,12.0,0.75
Andre Baccellia,47901,WR,ARZ,8,10,0,1,19.0,0,0.0,,0,0,,0,0,0,,52.9,0,0,0.0,0,16,0,81.3,13,39.6,1,10.0,0,0,0,,,0.0,0,8.4,0,75.0,,0,0,0.0,0,4,0,74.6,60.7,0,11,0.0,0,56,6,96.4,54,86.5,8,80.0,0,42,13,2.2,7.0,0.78
Trent Taylor,11932,WR,CIN,9,10,0,7,-4.0,0,100.0,,0,0,0.0,0,0,0,64.7,52.6,0,5,0.0,0,19,1,89.5,17,87.5,1,10.0,0,5,9,9.0,5.0,0.29,0,5.7,1,57.1,0.0,0,1,0.0,0,1,0,72.1,56.9,0,34,1.9,1,53,4,92.5,49,83.0,7,70.0,0,56,35,8.8,14.0,1.14
Deven Thompkins,84480,WR,TB,5,10,0,30,15.0,0,0.0,0.0,0,1,,0,0,0,,53.7,0,0,0.0,0,12,0,91.7,11,39.6,3,30.0,0,0,0,,,0.0,0,4.4,4,71.4,0.0,0,1,0.0,0,1,0,73.4,58.0,0,13,0.0,0,32,5,100.0,32,80.7,7,70.0,0,32,34,6.8,6.4,1.0
Montrell Washington,64310,WR,DEN,14,10,0,10,34.8,0,0.0,0.0,0,2,,0,0,0,,53.2,0,0,0.0,0,17,0,100.0,17,39.6,4,40.0,0,0,0,,,0.0,0,7.8,1,66.7,0.0,0,1,20.0,1,0,0,42.1,49.4,0,4,0.0,0,30,4,93.3,28,70.1,6,60.0,0,2,14,3.5,0.5,0.07
Anthony Schwartz,84135,WR,CLV,10,10,0,8,13.2,0,20.0,0.0,0,1,66.7,2,0,0,26.4,40.9,0,3,0.0,0,31,1,87.1,27,39.6,5,50.0,0,3,3,3.0,3.0,0.11,0,18.3,0,75.0,,0,0,0.0,0,2,1,70.5,59.5,0,19,0.0,0,28,3,100.0,28,114.6,4,40.0,0,48,27,9.0,16.0,1.71
Reggie Gilliam,40951,FB,BUF,16,10,0,4,,0,,,0,0,,0,0,0,,50.1,0,0,0.0,0,15,0,100.0,15,0.0,0,0.0,0,0,0,,,0.0,0,7.6,2,75.0,,0,0,0.0,0,3,0,74.6,58.5,0,14,7.8,5,64,6,90.6,58,90.6,8,80.0,0,50,36,6.0,8.3,0.86
Craig Reynolds,94383,HB,DET,8,10,0,11,5.0,0,100.0,,0,0,0.0,0,1,0,68.3,66.0,0,25,37.1,13,35,2,54.3,19,118.8,2,20.0,0,30,20,10.0,15.0,1.58,0,-0.3,7,87.5,,0,0,12.5,1,4,0,54.9,71.2,0,36,23.7,9,38,7,73.7,28,111.5,8,80.0,0,86,91,13.0,12.3,3.07
Marlon Mack,11898,HB,DEN,5,9,0,10,,0,,,0,0,,0,0,0,,55.5,0,0,33.3,3,9,0,66.7,6,0.0,0,0.0,0,0,0,,,0.0,0,-1.4,3,85.7,,0,0,0.0,0,2,0,74.6,81.0,0,66,19.4,6,31,6,77.4,24,158.3,7,77.8,1,97,110,18.3,16.2,4.04
Brandon Bolden,7469,HB,LV,10,9,0,23,,0,,,0,0,,0,0,0,,53.5,0,0,16.7,1,6,0,83.3,5,0.0,0,0.0,0,0,0,,,0.0,0,4.0,1,100.0,,0,0,0.0,0,0,0,70.5,62.9,0,12,6.9,2,29,3,89.7,26,97.2,3,33.3,0,22,10,3.3,7.3,0.85
Nick Vannett,10728,TE,NYG,10,9,0,21,4.0,0,50.0,50.0,1,2,0.0,0,0,0,68.3,50.9,0,6,25.0,7,28,1,67.9,19,56.3,2,22.2,0,6,0,0.0,6.0,0.32,0,3.4,0,71.4,33.3,1,3,0.0,0,1,0,73.4,55.7,0,15,15.3,11,72,5,83.3,60,90.8,7,77.8,0,49,31,6.2,9.8,0.82
Mike Thomas,10840,WR,CIN,10,9,0,7,11.0,0,33.3,0.0,0,1,50.0,2,1,0,28.0,53.2,1,33,0.0,0,45,2,84.4,38,16.7,6,66.7,0,38,24,12.0,19.0,1.0,0,22.3,0,0.0,0.0,0,1,,0,0,0,,47.9,0,0,0.0,0,65,0,96.9,63,39.6,3,33.3,0,0,0,,,0.0
Giovanni Ricci,13756,TE,CAR,13,9,0,5,6.0,1,50.0,,0,0,0.0,0,0,0,64.7,50.1,0,6,27.8,5,18,1,66.7,12,56.3,2,22.2,0,6,0,0.0,6.0,0.5,0,6.0,1,100.0,100.0,1,1,0.0,0,3,0,75.6,68.2,0,32,15.1,8,53,7,81.1,43,118.8,7,77.8,0,94,52,7.4,13.4,2.19
Samori Toure,25276,WR,GB,10,9,0,12,13.5,0,100.0,,0,0,0.0,0,1,1,68.3,50.0,0,32,0.0,0,30,2,83.3,25,118.8,2,22.2,0,34,7,3.5,17.0,1.36,0,20.2,1,60.0,,0,0,0.0,0,1,0,70.5,58.3,0,37,0.0,0,46,3,97.8,45,131.7,5,55.6,1,48,3,1.0,16.0,1.07
N'Keal Harry,48297,WR,CHI,7,9,0,6,14.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,65.2,0,17,0.0,0,23,1,82.6,19,118.8,2,22.2,1,17,1,1.0,17.0,0.89,0,17.1,0,85.7,66.7,2,3,0.0,0,3,0,74.6,67.8,0,49,0.0,0,57,6,91.2,52,118.8,7,77.8,0,99,15,2.5,16.5,1.9
Mike Strachan,143358,WR,IND,13,9,0,14,14.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,66.4,0,23,0.0,0,21,1,95.2,20,91.7,2,22.2,0,23,2,2.0,23.0,1.15,0,20.0,0,50.0,0.0,0,2,0.0,0,2,0,68.3,59.8,0,20,0.0,0,40,2,100.0,40,81.3,4,44.4,0,36,9,4.5,18.0,0.9
Chris Myarick,47358,TE,NYG,15,8,0,21,3.0,0,66.7,100.0,1,1,33.3,1,2,0,30.0,60.0,0,10,28.6,8,28,2,53.6,15,112.5,3,37.5,1,11,0,0.0,5.5,0.73,0,4.7,0,100.0,,0,0,0.0,0,2,0,70.5,57.2,0,23,38.3,31,81,3,61.7,50,118.8,3,37.5,0,40,26,8.7,13.3,0.8
Ryan Griffin,7982,TE,CHI,14,8,0,6,16.0,0,0.0,,0,0,,0,0,0,,51.1,0,0,44.4,4,9,0,55.6,5,39.6,2,25.0,0,0,0,,,0.0,0,4.8,0,60.0,50.0,1,2,0.0,0,1,0,70.5,54.4,0,18,22.7,10,44,3,75.0,33,72.9,5,62.5,0,25,9,3.0,8.3,0.76
Jameson Williams,101701,WR,DET,6,8,0,11,11.0,0,0.0,,0,0,100.0,1,0,0,27.9,43.0,0,0,0.0,0,10,0,90.0,9,39.6,3,37.5,0,0,0,,,0.0,0,24.2,0,20.0,,0,0,50.0,1,1,0,28.8,51.1,0,41,0.0,0,28,1,96.4,27,100.8,5,62.5,1,41,5,5.0,41.0,1.52
Chris Manhertz,10211,TE,JAX,19,8,0,15,,0,,,0,0,,0,0,0,,42.0,0,0,47.5,19,40,0,47.5,19,0.0,0,0.0,0,0,0,,,0.0,0,2.6,0,75.0,,0,0,14.3,1,2,0,49.2,45.0,0,21,37.6,38,101,6,59.4,60,86.5,8,100.0,0,42,35,5.8,7.0,0.7
Grant Calcaterra,60997,TE,PHI,15,8,0,24,10.5,0,50.0,,0,0,0.0,0,1,0,64.7,54.8,0,11,9.7,3,31,1,87.1,27,66.7,2,25.0,0,11,4,4.0,11.0,0.41,0,9.7,1,66.7,,0,0,20.0,1,2,0,42.1,59.8,0,40,14.8,9,61,4,83.6,51,106.3,6,75.0,0,70,38,9.5,17.5,1.37
D'Onta Foreman,11844,HB,CAR,17,8,0,5,,0,,,0,0,,0,0,0,,50.6,0,0,12.0,3,25,0,80.0,20,0.0,0,0.0,0,0,0,,,0.0,0,0.3,1,57.1,,0,0,0.0,0,0,0,72.1,50.1,1,4,11.2,11,98,4,84.7,83,22.6,7,87.5,0,3,5,1.3,0.8,0.04
Laquon Treadwell,10657,WR,SEA,7,8,0,29,7.3,0,33.3,0.0,0,1,50.0,1,0,0,28.8,45.9,0,7,0.0,0,18,1,88.9,16,42.4,3,37.5,0,7,0,0.0,7.0,0.44,0,0.3,1,100.0,,0,0,0.0,0,1,0,70.5,56.5,0,5,0.0,0,41,3,100.0,41,79.2,3,37.5,0,8,7,2.3,2.7,0.2
Jordan Wilkins,26618,HB,IND,3,8,0,14,-3.0,1,100.0,,0,0,0.0,0,1,0,68.3,68.8,0,10,14.3,1,7,2,85.7,6,91.7,2,25.0,0,12,18,9.0,6.0,2.0,0,-1.8,0,60.0,0.0,0,1,25.0,1,0,0,36.2,42.1,0,9,16.7,3,18,3,77.8,14,64.6,5,62.5,0,13,19,6.3,4.3,0.93
Royce Freeman,45747,HB,HST,4,7,0,13,,0,,,0,0,,0,0,0,,55.1,0,0,63.6,7,11,0,36.4,4,0.0,0,0.0,0,0,0,,,0.0,0,-0.3,0,85.7,50.0,1,2,0.0,0,0,0,74.6,63.7,0,9,26.2,11,42,6,66.7,28,86.3,7,100.0,0,33,39,6.5,5.5,1.18
Cole Turner,84330,TE,WAS,9,7,0,32,9.0,0,0.0,,0,0,,0,0,0,,47.8,0,0,9.1,2,22,0,81.8,18,39.6,1,14.3,0,0,0,,,0.0,0,9.5,0,0.0,0.0,0,2,,0,0,0,,46.1,0,0,24.2,15,62,0,69.4,43,39.6,4,57.1,0,0,0,,,0.0
Cade Johnson,42109,WR,SEA,3,7,0,29,7.0,0,100.0,,0,0,0.0,0,2,0,68.3,68.4,0,11,5.6,1,18,2,88.9,16,110.4,2,28.6,0,21,7,3.5,10.5,1.31,0,10.0,0,75.0,,0,0,0.0,0,2,0,70.5,60.2,0,24,0.0,0,40,3,95.0,38,105.2,4,57.1,0,39,8,2.7,13.0,1.03
Chris Conley,9509,WR,TEN,9,7,0,31,14.5,0,0.0,0.0,0,1,100.0,1,0,0,28.0,44.4,0,0,0.0,0,16,0,87.5,14,39.6,2,28.6,0,0,0,,,0.0,0,11.6,0,80.0,100.0,2,2,0.0,0,2,0,72.1,59.9,0,27,0.0,0,55,4,94.5,52,105.0,5,71.4,0,46,3,0.8,11.5,0.88
Darrel Williams,13014,HB,ARZ,5,7,0,1,,0,,,0,0,,0,0,0,,48.3,0,0,11.1,3,27,0,74.1,20,0.0,0,0.0,0,0,0,,,0.0,0,-1.8,0,50.0,0.0,0,1,25.0,1,0,0,72.1,59.1,0,2,12.1,4,33,3,81.8,27,56.3,6,85.7,0,3,4,1.3,1.0,0.11
Stephen Anderson,11160,TE,ARZ,14,7,0,1,2.0,0,100.0,,0,0,0.0,0,0,0,64.7,55.4,0,2,37.5,3,8,1,50.0,4,79.2,1,14.3,0,2,0,0.0,2.0,0.5,0,2.4,0,40.0,100.0,1,1,50.0,2,0,0,27.3,32.7,0,6,10.0,4,40,2,87.5,35,47.9,5,71.4,0,7,6,3.0,3.5,0.2
Phillip Lindsay,12660,HB,IND,3,7,0,14,,0,,,0,0,,0,0,0,,54.1,0,0,23.1,3,13,0,69.2,9,0.0,0,0.0,0,0,0,,,0.0,0,2.6,1,85.7,100.0,1,1,0.0,0,0,0,74.6,63.4,0,7,26.7,8,30,6,66.7,20,79.2,7,100.0,0,19,12,2.0,3.2,0.95
Corey Clement,12253,HB,ARZ,4,7,0,1,-2.5,0,100.0,,0,0,0.0,0,1,0,68.3,70.8,0,17,25.0,5,20,2,65.0,13,108.3,2,28.6,0,20,25,12.5,10.0,1.54,0,0.4,1,60.0,,0,0,25.0,1,2,0,36.2,67.2,0,21,6.7,2,30,3,86.7,26,80.4,5,71.4,0,34,36,12.0,11.3,1.31
Jake Kumerow,9883,WR,BUF,6,7,0,4,3.0,0,100.0,,0,0,0.0,0,2,0,68.3,61.9,0,11,0.0,0,16,2,100.0,16,97.9,2,28.6,0,15,9,4.5,7.5,0.94,0,14.0,0,40.0,100.0,1,1,0.0,0,2,0,68.3,64.0,0,39,0.0,0,35,2,97.1,34,76.3,5,71.4,0,49,10,5.0,24.5,1.44
Pierre Strong Jr.,66619,HB,NE,5,7,0,19,-3.0,0,100.0,,0,0,0.0,0,0,0,64.7,61.7,0,-2,20.0,1,5,1,60.0,3,79.2,1,14.3,0,-2,1,1.0,-2.0,-0.67,0,1.0,1,100.0,,0,0,0.0,0,3,0,74.6,68.1,0,16,14.3,3,21,6,81.0,17,97.2,6,85.7,0,44,38,6.3,7.3,2.59
Marcedes Lewis,2973,TE,GB,17,7,0,12,3.0,0,100.0,,0,0,0.0,0,1,0,68.3,49.1,0,2,32.4,23,71,1,63.4,45,118.8,1,14.3,1,2,0,0.0,2.0,0.04,0,11.8,0,75.0,100.0,1,1,25.0,1,2,0,36.2,49.6,0,31,39.8,39,98,3,56.1,55,115.6,4,57.1,0,49,8,2.7,16.3,0.89
Troy Hairston,65088,FB,HST,16,7,0,13,,0,,,0,0,,0,0,0,,56.5,0,0,60.0,6,10,0,30.0,3,0.0,0,0.0,0,0,0,,,0.0,0,2.0,0,83.3,,0,0,16.7,1,0,0,45.8,44.7,0,7,39.0,16,41,5,58.5,24,79.9,6,85.7,0,19,10,2.0,3.8,0.79
Trestan Ebner,57159,HB,CHI,10,7,0,6,-2.0,0,0.0,,0,0,,0,0,0,,56.4,0,0,20.0,1,5,0,80.0,4,39.6,1,14.3,0,0,0,,,0.0,0,-1.3,0,33.3,,0,0,0.0,0,0,0,68.3,53.4,0,6,6.9,2,29,1,89.7,26,42.4,3,42.9,0,6,0,0.0,6.0,0.23
Boston Scott,39462,HB,PHI,18,7,0,24,-3.5,1,100.0,,0,0,0.0,0,0,0,70.5,56.5,0,5,8.3,3,36,2,83.3,30,85.4,2,28.6,0,9,16,8.0,4.5,0.3,0,-1.6,3,80.0,,0,0,0.0,0,0,0,72.1,53.7,0,9,7.7,5,65,4,92.3,60,79.2,5,71.4,0,15,18,4.5,3.8,0.25
Zander Horvath,57384,FB,LAC,15,7,0,27,0.0,0,100.0,,0,0,0.0,0,1,0,29.9,37.5,0,1,0.0,0,6,2,66.7,4,118.8,2,28.6,1,1,1,0.5,0.5,0.25,0,2.3,0,50.0,0.0,0,1,0.0,0,0,0,68.3,51.4,0,5,23.3,7,30,2,70.0,21,56.3,4,57.1,0,6,0,0.0,3.0,0.29
Tony Jones Jr.,40498,HB,SEA,4,7,0,29,,0,,,0,0,,0,0,0,,59.7,0,0,0.0,0,1,0,100.0,1,0.0,0,0.0,0,0,0,,,0.0,0,-2.4,1,71.4,0.0,0,1,16.7,1,0,0,29.2,38.4,1,9,11.6,5,43,5,79.1,34,39.9,7,100.0,0,30,34,6.8,6.0,0.88
Dax Milne,84147,WR,WAS,12,7,0,32,2.5,0,100.0,,0,0,0.0,0,1,0,68.3,65.1,0,6,0.0,0,10,2,90.0,9,127.1,2,28.6,1,10,5,2.5,5.0,1.11,0,5.0,1,100.0,,0,0,0.0,0,1,0,70.5,62.0,0,12,0.0,0,19,3,94.7,18,95.8,3,42.9,0,21,6,2.0,7.0,1.17
Gary Brightwell,57133,HB,NYG,7,7,0,21,0.0,0,100.0,,0,0,0.0,0,1,0,64.7,63.4,0,6,8.3,1,12,1,83.3,10,91.7,1,14.3,0,6,6,6.0,6.0,0.6,0,0.2,0,60.0,0.0,0,1,0.0,0,2,0,70.5,58.5,0,12,3.1,1,32,3,96.9,31,69.6,5,71.4,0,21,21,7.0,7.0,0.68
Racey McMath,61401,WR,TEN,4,7,0,31,32.5,0,50.0,,0,0,0.0,0,1,0,64.7,74.4,0,39,0.0,0,10,1,80.0,8,95.8,2,28.6,0,39,1,1.0,39.0,4.88,0,30.3,0,0.0,0.0,0,3,,0,0,0,,51.4,1,0,0.0,0,31,0,100.0,31,0.0,3,42.9,0,0,0,,,0.0
Jakob Johnson,32565,FB,LV,17,6,0,23,4.0,0,0.0,0.0,0,1,,0,0,0,,54.3,0,0,50.0,6,12,0,41.7,5,39.6,1,16.7,0,0,0,,,0.0,0,0.5,1,100.0,,0,0,0.0,0,0,0,72.1,56.4,0,5,24.1,14,58,4,74.1,43,79.2,4,66.7,0,7,5,1.3,1.8,0.16
